start_time,end_time,peak_time,peak_flux,activity_level,confidence,duration_minutes
2026-05-29 00:00:26,2026-05-29 00:00:38,2026-05-29 00:00:38,13.0,1,58,0.2
2026-05-29 00:00:48,2026-05-29 00:00:48,2026-05-29 00:00:48,14.0,2,60,0.0
2026-05-29 00:01:12,2026-05-29 00:03:42,2026-05-29 00:01:37,14.0,1,60,2.5
2026-05-29 00:04:06,2026-05-29 00:04:11,2026-05-29 00:04:11,17.0,2,62,0.08
2026-05-29 00:04:45,2026-05-29 00:05:51,2026-05-29 00:05:51,13.0,1,58,1.1
2026-05-29 00:06:40,2026-05-29 00:06:40,2026-05-29 00:06:40,18.0,2,63,0.0
2026-05-29 00:07:13,2026-05-29 00:07:30,2026-05-29 00:07:18,13.0,1,58,0.28
2026-05-29 00:07:34,2026-05-29 00:07:34,2026-05-29 00:07:34,15.0,2,61,0.0
2026-05-29 00:07:54,2026-05-29 00:11:20,2026-05-29 00:08:02,15.0,1,60,3.43
2026-05-29 00:11:40,2026-05-29 00:11:40,2026-05-29 00:11:40,14.0,2,61,0.0
2026-05-29 00:12:01,2026-05-29 00:13:37,2026-05-29 00:13:37,12.0,1,58,1.6
2026-05-29 00:13:39,2026-05-29 00:13:53,2026-05-29 00:13:53,15.0,2,61,0.23
2026-05-29 00:14:03,2026-05-29 00:15:48,2026-05-29 00:14:16,13.0,1,60,1.75
2026-05-29 00:15:55,2026-05-29 00:15:55,2026-05-29 00:15:55,15.0,2,61,0.0
2026-05-29 00:16:02,2026-05-29 00:18:42,2026-05-29 00:17:55,15.0,1,60,2.67
2026-05-29 00:18:45,2026-05-29 00:18:45,2026-05-29 00:18:45,15.0,2,61,0.0
2026-05-29 00:19:14,2026-05-29 00:19:36,2026-05-29 00:19:14,13.0,1,60,0.37
2026-05-29 00:19:43,2026-05-29 00:19:43,2026-05-29 00:19:43,16.0,2,61,0.0
2026-05-29 00:19:47,2026-05-29 00:23:20,2026-05-29 00:19:47,15.0,1,60,3.55
2026-05-29 00:23:38,2026-05-29 00:23:38,2026-05-29 00:23:38,16.0,2,61,0.0
2026-05-29 00:23:54,2026-05-29 00:30:51,2026-05-29 00:30:38,17.0,1,60,6.95
2026-05-29 00:31:28,2026-05-29 00:31:28,2026-05-29 00:31:28,18.0,2,62,0.0
2026-05-29 00:31:33,2026-05-29 00:34:47,2026-05-29 00:32:12,17.0,1,60,3.23
2026-05-29 00:34:56,2026-05-29 00:34:56,2026-05-29 00:34:56,18.0,2,61,0.0
2026-05-29 00:35:10,2026-05-29 00:35:40,2026-05-29 00:35:40,18.0,1,58,0.5
2026-05-29 00:35:52,2026-05-29 00:36:03,2026-05-29 00:35:57,24.0,2,65,0.18
